child,parent,colour,sex,dob
KENTWONE ROYAL PRINCE,,BLACK,Male,23 December 2020
COUNTRYWAYS INDY,KENTWONE ROYAL PRINCE,BLACK,Female,25 August 2015
SOLO GENERAL,KENTWONE ROYAL PRINCE,BLACK,Male,18 May 2016
MISSYS GREEN MEADOW (IKC),COUNTRYWAYS INDY,BLACK,Female,22 May 2013
OAKLEAF BOZO,COUNTRYWAYS INDY,BLACK,Male,07 October 2009
BLACKHOPE RANCHER,MISSYS GREEN MEADOW (IKC),BLACK,Male,13 August 2004
KNOCKNADONA JUDY,BLACKHOPE RANCHER,BLACK,Female,30 January 2001
KENMILLTRI PIPER,BLACKHOPE RANCHER,BLACK,Male,10 May 2003
BROOKVALE LIZ,KNOCKNADONA JUDY,BLACK,Female,13 July 1999
PETE'S GLEN,KNOCKNADONA JUDY,BLACK,Male,01 December 1997
JENNA'S JOY,BROOKVALE LIZ,BLACK,Female,02 September 1995
ERNEVALE ADMIRAL,BROOKVALE LIZ,BLACK,Male,05 March 1994
MULLOUGH STAR,JENNA'S JOY,BLACK,Female,21 January 1992
ANNSFIELD BOY,JENNA'S JOY,BLACK,Male,02 October 1988
IR FT CH GLENDARRA LASS,MULLOUGH STAR,BLACK,Female,18 April 1989
IR FT CH WILD SHOT DAN,MULLOUGH STAR,BLACK,Male,14 December 1986
KIRKDERRA LASS,IR FT CH GLENDARRA LASS,BLACK,Female,25 April 1985
GLENTIKA LAD,IR FT CH GLENDARRA LASS,YELLOW,Male,06 March 1986
BROOKWOOD IVY,KIRKDERRA LASS,BLACK,Female,02 April 1979
FT CH BEN NEAGH,KIRKDERRA LASS,?,Male,11 July 1980
DERRAMORE THATCH,BROOKWOOD IVY,?,Female,08 July 1976
FT CH LEACROSS RINKALS,BROOKWOOD IVY,BLACK,Male,26 March 1976
DERRAMORE RIVER BANK,DERRAMORE THATCH,?,Female,01 January 0001
FT CH DERRYBOY DANIEL,DERRAMORE THATCH,BLACK,Male,26 June 1973
FANEBANK SHOW STYLE,DERRAMORE RIVER BANK,?,Female,01 January 0001
SUNRAY SEEKER OF FANEBANK,DERRAMORE RIVER BANK,?,Male,01 January 0001
DERRYBOY BLUE TEAL,FT CH DERRYBOY DANIEL,?,Female,01 January 0001
FT CH HOLDGATE WILLIE,FT CH DERRYBOY DANIEL,BLACK,Male,06 June 1969
WING OF RUCKLEY,FT CH HOLDGATE WILLIE,?,Female,01 January 0001
HOLDGATE STEVEN,FT CH HOLDGATE WILLIE,?,Male,01 January 0001
FT CH HOLDGATE VESTA,HOLDGATE STEVEN,?,Female,01 January 0001
JERICO ROCKET,HOLDGATE STEVEN,?,Male,01 January 0001
HOLDGATE BRAMBLE,FT CH HOLDGATE VESTA,?,Female,01 January 0001
FT CH HIWOOD DIPPER,FT CH HOLDGATE VESTA,?,Male,01 January 0001
FT CH SWINBROOK TAN,FT CH LEACROSS RINKALS,?,Male,01 January 0001
FT CH BEINNMHOR TIDE,FT CH SWINBROOK TAN,?,Female,01 January 0001
FT CH PALGRAVE EDWARD,FT CH SWINBROOK TAN,?,Male,01 January 0001
FT CH CORNBURY RURO TEAL,FT CH BEINNMHOR TIDE,?,Female,01 January 0001
BEINNMHOR VENOM,FT CH BEINNMHOR TIDE,?,Male,01 January 0001
FT CH CORNBURY REGENT,FT CH CORNBURY RURO TEAL,?,Male,01 January 0001
BRACKENBANK VIOLET,BEINNMHOR VENOM,?,Female,01 January 0001
FT CH GLENFARG SKID,BEINNMHOR VENOM,?,Male,01 January 0001
FT CH SENDHURST SWEEP,FT CH PALGRAVE EDWARD,?,Male,01 January 0001
SCOTNEY DUSTY,FT CH SENDHURST SWEEP,?,Male,01 January 0001
GLENLOCH TEAL,FT CH BEN NEAGH,?,Female,01 January 0001
FT CH MEADOWBRAE WIDGEON,FT CH BEN NEAGH,BLACK,Male,30 May 1974
TOPBUTT BOUNTY,GLENLOCH TEAL,?,Female,01 January 0001
FT CH FT CH WHEATRIG IRREPRESSIBLE,GLENLOCH TEAL,?,Male,01 January 0001
SPUDTAMSONS BLOSSOM,TOPBUTT BOUNTY,?,Female,01 January 0001
FT CH MYCUR MAGNUS,TOPBUTT BOUNTY,?,Male,01 January 0001
SPUDTAMSONS LINTIE,SPUDTAMSONS BLOSSOM,?,Female,01 January 0001
FT CH MARGERY WING STAG,SPUDTAMSONS BLOSSOM,?,Male,01 January 0001
SPUDTAMSONS GALE,SPUDTAMSONS LINTIE,?,Female,01 January 0001
FT CH GLENFARG SKID,FT CH MYCUR MAGNUS,?,Male,01 January 0001
WHEATRIG COMMODORE,FT CH FT CH WHEATRIG IRREPRESSIBLE,?,Male,01 January 0001
FT CH DERRYBOY DANIEL,FT CH MEADOWBRAE WIDGEON,BLACK,Male,26 June 1973
SOOTY OF MEADOWBRAE,FT CH MEADOWBRAE WIDGEON,?,Female,01 January 0001
MEADOW BRAE,SOOTY OF MEADOWBRAE,?,Female,01 January 0001
SOOTY,MEADOW BRAE,?,Female,01 January 0001
DAWN OF STRUELL,MEADOW BRAE,?,Male,01 January 0001
WYBERSLEGH TIKA,GLENTIKA LAD,BLACK,Female,27 August 1983
FT CH GLENCOIN DRUMMER OF DRAKESHEAD,GLENTIKA LAD,YELLOW,Male,09 March 1978
CEDARS END JESS,WYBERSLEGH TIKA,BLACK,Female,20 August 1980
BEACHCOMBER BOY,WYBERSLEGH TIKA,BLACK,Male,03 May 1982
KIST DARG DAFFIN,CEDARS END JESS,?,Female,05 April 1978
WELSTON ROOK,CEDARS END JESS,BLACK,Male,12 May 1978
FT CH SWINBROOK TAN,KIST DARG DAFFIN,?,Male,01 January 0001
TEAL DARG DAFFIN,KIST DARG DAFFIN,?,Female,01 January 0001
BRACKEN DARG DAFFIN,TEAL DARG DAFFIN,YELLOW,Female,12 May 1970
FT CH SANDRINGHAM SYDNEY,TEAL DARG DAFFIN,YELLOW,Male,14 May 1970
TROUBLE OF MILLERFIELDS,BRACKEN DARG DAFFIN,?,Female,01 January 0001
HEATHFARM JASPER,BRACKEN DARG DAFFIN,?,Male,01 January 0001
FT CH SENDHURST ZELSTONE TINKER,HEATHFARM JASPER,?,Male,01 January 0001
